Title,Link
Employment Rights Act 2025,http://www.legislation.gov.uk/ukpga/2025/36/enacted/data.htm
Space Industry (Indemnities) Act 2025,http://www.legislation.gov.uk/ukpga/2025/35/enacted/data.htm
Planning and Infrastructure Act 2025,http://www.legislation.gov.uk/ukpga/2025/34/2025-12-19/data.htm
Mental Health Act 2025,http://www.legislation.gov.uk/ukpga/2025/33/enacted/data.htm
Dogs (Protection of Livestock) (Amendment) Act 2025,http://www.legislation.gov.uk/ukpga/2025/32/enacted/data.htm
"Border Security, Asylum and Immigration Act 2025",http://www.legislation.gov.uk/ukpga/2025/31/2026-01-05/data.htm
"Animal Welfare (Import of Dogs, Cats and Ferrets) Act 2025",http://www.legislation.gov.uk/ukpga/2025/30/2025-12-02/data.htm
Property (Digital Assets etc) Act 2025,http://www.legislation.gov.uk/ukpga/2025/29/2025-12-02/data.htm
"Public Authorities (Fraud, Error and Recovery) Act 2025",http://www.legislation.gov.uk/ukpga/2025/28/2025-12-04/data.htm
Absent Voting (Elections in Scotland and Wales) Act 2025,http://www.legislation.gov.uk/ukpga/2025/27/enacted/data.htm
Renters’ Rights Act 2025,http://www.legislation.gov.uk/ukpga/2025/26/2025-12-27/data.htm
Deprivation of Citizenship Orders (Effect during Appeal) Act 2025,http://www.legislation.gov.uk/ukpga/2025/25/2025-10-27/data.htm
Bus Services Act 2025,http://www.legislation.gov.uk/ukpga/2025/24/2025-12-27/data.htm
Armed Forces Commissioner Act 2025,http://www.legislation.gov.uk/ukpga/2025/23/2025-09-03/data.htm
Universal Credit Act 2025,http://www.legislation.gov.uk/ukpga/2025/22/2025-09-03/data.htm
Football Governance Act 2025,http://www.legislation.gov.uk/ukpga/2025/21/2025-12-12/data.htm
Product Regulation and Metrology Act 2025,http://www.legislation.gov.uk/ukpga/2025/20/2025-07-21/data.htm
Supply and Appropriation (Main Estimates) Act 2025,http://www.legislation.gov.uk/ukpga/2025/19/2025-07-21/data.htm
Data (Use and Access) Act 2025,http://www.legislation.gov.uk/ukpga/2025/18/2025-12-01/data.htm
Sentencing Guidelines (Pre-sentence Reports) Act 2025,http://www.legislation.gov.uk/ukpga/2025/17/2025-06-20/data.htm
Great British Energy Act 2025,http://www.legislation.gov.uk/ukpga/2025/16/2025-05-15/data.htm
Land Reform (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/15/enacted/data.htm
Bank Resolution (Recapitalisation) Act 2025,http://www.legislation.gov.uk/ukpga/2025/15/2025-07-16/data.htm
Criminal Justice Modernisation and Abusive Domestic Behaviour Reviews (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/14/2025-12-01/data.htm
Institute for Apprenticeships and Technical Education (Transfer of Functions etc) Act 2025,http://www.legislation.gov.uk/ukpga/2025/14/2025-06-01/data.htm
Housing (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/13/2026-01-07/data.htm
Steel Industry (Special Measures) Act 2025,http://www.legislation.gov.uk/ukpga/2025/13/2025-04-12/data.htm
"Victims, Witnesses, and Justice Reform (Scotland) Act 2025",http://www.legislation.gov.uk/asp/2025/12/enacted/data.htm
Non-Domestic Rating (Multipliers and Private Schools) Act 2025,http://www.legislation.gov.uk/ukpga/2025/12/2025-04-03/data.htm
Education (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/11/2025-12-01/data.htm
National Insurance Contributions (Secondary Class 1 Contributions) Act 2025,http://www.legislation.gov.uk/ukpga/2025/11/2025-04-03/data.htm
Scottish Languages Act 2025,http://www.legislation.gov.uk/asp/2025/10/2025-11-30/data.htm
Terrorism (Protection of Premises) Act 2025,http://www.legislation.gov.uk/ukpga/2025/10/2025-04-03/data.htm
Care Reform (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/9/2026-01-07/data.htm
Church of Scotland (Lord High Commissioner) Act 2025,http://www.legislation.gov.uk/ukpga/2025/9/2025-04-03/data.htm
Regulation of Legal Services (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/8/2025-06-28/data.htm
Finance Act 2025,http://www.legislation.gov.uk/ukpga/2025/8/2025-03-20/data.htm
Budget (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/7/2025-12-03/data.htm
Crown Estate Act 2025,http://www.legislation.gov.uk/ukpga/2025/7/2025-05-11/data.htm
Agriculture Act (Northern Ireland) 2025,http://www.legislation.gov.uk/nia/2025/6/enacted/data.htm
Welfare of Dogs (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/6/2025-05-19/data.htm
Supply and Appropriation (Anticipation and Adjustments) Act 2025,http://www.legislation.gov.uk/ukpga/2025/6/2025-03-11/data.htm
"<span xml:lang=""en"">Visitor Accommodation (Register and Levy) Etc. (Wales) Act 2025</span> / <span xml:lang=""cy"">Deddf Llety Ymwelwyr (Cofrestr ac Ardoll) Etc. (Cymru) 2025</span>",http://www.legislation.gov.uk/asc/2025/5/2025-09-19/data.htm
Assembly Members (Independent Remuneration Board) Act (Northern Ireland) 2025,http://www.legislation.gov.uk/nia/2025/5/enacted/data.htm
"Police (Ethics, Conduct and Scrutiny) (Scotland) Act 2025",http://www.legislation.gov.uk/asp/2025/5/2025-06-25/data.htm
Water (Special Measures) Act 2025,http://www.legislation.gov.uk/ukpga/2025/5/2025-09-01/data.htm
Abuse Redress Measure 2025,http://www.legislation.gov.uk/ukcm/2025/4/2025-12-18/data.htm
"<span xml:lang=""en"">Disused Mine and Quarry Tips (Wales) Act 2025</span> / <span xml:lang=""cy"">Deddf Tomenni Mwyngloddiau a Chwareli Nas Defnyddir (Cymru) 2025</span>",http://www.legislation.gov.uk/asc/2025/4/2025-09-12/data.htm
Budget (No. 2) Act (Northern Ireland) 2025,http://www.legislation.gov.uk/nia/2025/4/enacted/data.htm
Arbitration Act 2025,http://www.legislation.gov.uk/ukpga/2025/4/2025-08-01/data.htm
Scottish Elections (Representation and Reform) Act 2025,http://www.legislation.gov.uk/asp/2025/4/2025-11-17/data.htm
Armed Forces Chaplains (Licensing) Measure 2025,http://www.legislation.gov.uk/ukcm/2025/3/2025-12-18/data.htm
"<span xml:lang=""en"">Legislation (Procedure, Publication and Repeals) (Wales) Act 2025</span> / <span xml:lang=""cy"">Deddf Deddfwriaeth (Gweithdrefn, Cyhoeddi a Diddymiadau) (Cymru) 2025</span>",http://www.legislation.gov.uk/asc/2025/3/2026-01-01/welsh/data.htm
Child Support Enforcement Act (Northern Ireland) 2025,http://www.legislation.gov.uk/nia/2025/3/enacted/data.htm
Judicial Factors (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/3/2025-01-28/data.htm
Financial Assistance to Ukraine Act 2025,http://www.legislation.gov.uk/ukpga/2025/3/2025-01-16/data.htm
General Cemetery Act 2025,http://www.legislation.gov.uk/ukla/2025/2/enacted/data.htm
"<span xml:lang=""en"">Welsh Language and Education (Wales) Act 2025</span> / <span xml:lang=""cy"">Deddf y Gymraeg ac Addysg (Cymru) 2025</span>",http://www.legislation.gov.uk/asc/2025/2/2025-09-07/welsh/data.htm
Pensions (Extension of Automatic Enrolment) Act (Northern Ireland) 2025,http://www.legislation.gov.uk/nia/2025/2/enacted/data.htm
Church Funds Investment Measure 2025,http://www.legislation.gov.uk/ukcm/2025/2/2025-04-03/data.htm
Social Security (Amendment) (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/2/2025-12-15/data.htm
Commonwealth Parliamentary Association and International Committee of the Red Cross (Status) Act 2025,http://www.legislation.gov.uk/ukpga/2025/2/2025-01-16/data.htm
Norwich Livestock Market Act 2025,http://www.legislation.gov.uk/ukla/2025/1/enacted/data.htm
Chancel Repair (Church Commissioners’ Liability) Measure 2025,http://www.legislation.gov.uk/ukcm/2025/1/2025-10-01/data.htm
Health and Social Care (Wales) Act 2025,http://www.legislation.gov.uk/asc/2025/1/2025-03-25/welsh/data.htm
Budget Act (Northern Ireland) 2025,http://www.legislation.gov.uk/nia/2025/1/2025-07-28/data.htm
Prisoners (Early Release) (Scotland) Act 2025,http://www.legislation.gov.uk/asp/2025/1/2025-02-11/data.htm
Lords Spiritual (Women) Act 2015 (Extension) Act 2025,http://www.legislation.gov.uk/ukpga/2025/1/2025-01-16/data.htm
The Air Navigation (Restriction of Flying) (Brimscombe) (Emergency) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1380/made
The Oil and Gas Authority (Carbon Storage and Offshore Petroleum) (Specified Periods for Disclosure of Protected Material) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1379/made/data.htm
The Five Estuaries Offshore Wind Farm Order 2025,http://www.legislation.gov.uk/uksi/2025/1376/made/data.htm
"The Air Navigation (Restriction of Flying) (Prescott, Merseyside) (Emergency) Regulations 2025",http://www.legislation.gov.uk/uksi/2025/1374/made
The Air Navigation (Restriction of Flying) (Mountain Ash) (Emergency) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1373/made
The Helios Renewable Energy Project Order 2025,http://www.legislation.gov.uk/uksi/2025/1372/made/data.htm
"<span xml:lang=""en"">The Non-Domestic Rating (Chargeable Amounts) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Ardrethu Annomestig (Symiau a Godir) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1371/made/welsh/data.htm
The Levelling-up and Regeneration Act 2023 (Commencement No. 9) and Planning and Infrastructure Act 2025 (Commencement No. 1 and Transitional Provisions) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1370/made/data.htm
The Producer Responsibility Obligations (Packaging and Packaging Waste) (Amendment) Regulations 2025,http://www.legislation.gov.uk/uksi/2025/1369/made/data.htm
"<span xml:lang=""en"">The Building Safety Act 2022 (Commencement No. 6) (Wales) Regulations 2025</span> / <span xml:lang=""cy"">Rheoliadau Deddf Diogelwch Adeiladau 2022 (Cychwyn Rhif 6) (Cymru) 2025</span>",http://www.legislation.gov.uk/wsi/2025/1368/made/welsh/data.htm
